,,Start or Timeframe,,,End,,,,,,,,This1,This2,This3
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,15,3075,5,1,,,,"Akfata is reclaimed by Kaumberg Planetary Guard forces, but in the fighting to retake Vermezzo, Democracy Now forces resort to scorched earth tactics and taking hostages to stave o their inevitable defeat. The destruction leaves thousands homeless, dead, or injured. On this same day, Magestrix Naomi Centrella-Liao departs from Andurien, en route to Canopus with a signed non-aggression pact that covers the Capellan, Canopian, and Andurien states.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,56,3077,5,1,,,,"After Manei Domini assassins kill off the other senior officers of the Lyran Group III, Leutnant-General Thomas Hogarth becomes senior officer of the allied attack force.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,58,3078,5,1,,,,The Principality of Regulus attacks Clipperton and Molokai. Local military commands cautiously welcome them as liberators.,,,,,,,
Historical - Wars of the Republic Era,15,3085,5,1,,,,Signing of the Tikonov Treaty ends Capellan resistance to the Republic.,,,,,,,
Field Manual - Update,9,3062,5,2,,,,First Black May nerve gas attack in the Capellan/St. Ives war. Mandrinn Tormano Liao is killed one such attack.,,,,,,,
Field Manual - Update,10,3063,5,2,,,,Death of Kristen Marik; the Second Free Worlds Guard occupies the Lyran world of Arcadia on the orders of Marshall Jeremy Brett,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,47,3070,5,2,,,,"Word of Blake raiders attack Hachiman, destroying the Hachiman Taro Electronics facilities.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,22,3070,5,2,,,,"Word of Blake raiders attack Hachiman, destroying the Hachiman Taro Electronics facilities.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,58,3078,5,2,,,,"The Capellan Confederation attempts to retake Pleione, but the initial invasion by Warrior House Ma-Tsu Kai is virtually destroyed by Pocket Warships.",,,,,,,
Era Report 2750,13,2584,5,3,,,,Crystalla Centrella surrenders Canopus IV—but not the Magistracy. SLEF forces spend the next four years pacifying the remaining Magistracy systems.,,,,,,,
Field Manual - Update,8,3060,5,3,,,,"The first in a long series of battles over the former Ghost Bear, Nova Cat and Smoke Jaguar enclaves is fought",,,,,,,
Field Manual - Update,14,3067,5,3,,,,Formation of Kindraa Mick-KreeseKline,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,5,3,,,,"After months of ""low-intensity resistance,"" the Solaris Home Defense League executes a daring assault on Solaris City, securing the city’s International Zone.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,15,3071,5,3,,,,"After months of “low-intensity resistance,” the Solaris Home Defense League executes a daring assault on Solaris City, securing the city’s International Zone.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,5,3,,,,"The Taurian Warship Vendetta unleashes an orbital attack on Hyalite, aimed at destroying the military facilities and planetary HPG compound that were subverted by the Hansen’s Roughriders.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,15,3075,5,3,,,,"The Taurian Warship Vendetta unleashes an orbital attack on Hyalite, aimed at destroying the military facilities and planetary HPG compound that were subverted by the Hansen’s Roughriders.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,56,3077,5,3,,,,"While convalescing on Cameron, a pregnant Michelle Cameron-Jones is assassinated by Manei Domini Precentor Naamah—who was posing as a midwife at the time. The grisly murder takes place mere hours before Prince Titus of Regulus arrives to visit, leaving only his firstborn son Lester alive.",,,,,,,
Era Digest: Dark Age,10,3133,5,3,,,,Attempted coup launched on Mirach. It lasts less than ten days.,,,,,,,
Field Manual - 3145,23,3133,5,3,,,,Attempted coup launched on Mirach. It lasts less than ten days.,,,,,,,
Era Report 3145,20,3138,5,3,,,,Savannah liberated by the CWEF.,,,,,,,
Field Manual - 3145,24,3138,5,3,,,,Savannah liberated by the CWEF,,,,,,,
Historical - Operation Klondike,103,2817,5,4,,,,"Operation SABLE SUN, the intelligence-gathering mission within the Pentagon systems, launches",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,5,4,,,,Prince Titus Cameron-Jones of Regulus marries Michelle Ryan in a modest ceremony in Regulus City.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,15,3075,5,4,,,,Prince Titus Cameron-Jones of Regulus marries Michelle Ryan in a modest ceremony in Regulus City.,,,,,,,
Historical - Liberation of Terra I,30,2764,5,5,,,,Nicholas Kerensky born.,,,,,,,
Era Digest: Golden Century,8,2801,5,5,,,,The Pentagon riots devolve into Civil War,,,,,,,
Historical - Operation Klondike,102,2801,5,5,,,,A group of Capellan nationals declare themselves independent from the Star League-in-Exile; the riots begin to devolve into civil war,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",30,2801,5,5,,,,Pentagon riots devolve into civil war.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,49,3072,5,5,,,,Democracy Now leader Lindon Ashley calls for the secession of the Alarion Province from the Lyran Alliance.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,21,3072,5,5,,,,Democracy Now leader Lindon Ashley calls for the secession of the Alarion Province from the Lyran Alliance.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,60,3080,5,5,,,,Field Marshal Nathaniel Hasek initiates Operation MATADOR to reclaim FedSuns worlds lost to the Taurian Concordat.,,,,,,,
Era Report 3145,18,3135,5,5,,,,Tucker Harwell successfully restarts Wyatt HPG.,,,,,,,
Field Manual - 3145,23,3135,5,5,,,,Tucker Harwell successfully restarts Wyatt HPG.,,,,,,,
Era Report 3145,19,3136,5,5,,,,"Video footage of superheavy ""Colossal"" ‘Mech surfaces.",,,,,,,
Historical - Fedcom Civil War,13,3051,5,6,,,,Archon-Prince Designate Victor Steiner-Davion on the Combine world of Teniente to rescue Hahira Kurita,,,,,,,
Era Report 3052,19,3052,5,6,,,,The revenants under command of victor steiner-Davion hit Teniente and rescue Hohiro kurita.,,,,,,,
House Book House Davion,79,3052,5,6,,,,"Battle for Teniente, in which Victor Steiner-Davion rescues Hohiro Kurita.",,,,,,,
Era Digest: Dark Age,10,3134,5,6,,,,Capellan Confederation invades the Republic.,,,,,,,
Field Manual - 3145,23,3134,5,6,,,,Capellan Confederation invades the Republic.,,,,,,,
Era Report 3145,18,3135,5,6,,,,Combine forces assault Shinonoi.,,,,,,,
Field Manual - 3145,23,3135,5,6,,,,Combine forces assault Shinonoi.,,,,,,,
Era Report 3145,20,3137,5,6,,,,Anson Marik reforms Silver Hawk Irregulars.,,,,,,,
Era Report 2750,17,2723,5,7,,,,The Periphery Freedom movement is found ed. Over the next ten years the movement swells to over a million members.,,,,,,,
Handbook House Marik,43,2980,5,7,,,,"Callison falls to the Commonwealth when no Marik reinforcements arrive, a result of infghting between Parliament and the Captain-General. Zosma and Rochelle also come under attack, while Liao forces target Hassad and Vanra.",,,,,,,
Era Report 3052,15,3050,5,7,,,,"The Ryugawa-gumi, a group of yakuza on Turtle bay, stages a jailbreak from the kurushiiyama prison. Hohiro kurita is rescued in the process. The smoke Jaguars, upon learning of this, decide to withdraw all their troops and stage an example. The Warship Sabre Cat razes the city of Edo. Hundreds of thousands are killed. All the other Clans condemn this attack as cowardice or—worse—criminally stupid. Clan Wolf declares it will never again bid naval support during the invasion. All the other Clans follow this example in order not to lose honor. Meanwhile, Clan Wolf releases its revised invasion plan to the other Clans.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3050,5,7,,,,Smoke Jaguars raze city of Edo on Turtle Bay.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,5,7,3069,5,21,"Word of Blake and allied mercenary forces hit Alya, Ankaa, Cebalrai, Kessel and Vega. Alya, Cebalrai and Vega fall in conventional attacks. Kessel does not succumb despite the use of tactical nuclear weapons, in part because of the timely arrival of Combine Warships. Blakist neutron weapons reportedly kill over 10,000 civilians on Kessel before the invaders retreat.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,14,3069,5,7,3069,5,21,"Word of Blake and allied mercenary forces hit Alya, Ankaa, Cebalrai, Kessel and Vega. Alya, Cebalrai and Vega fall in conventional attacks. Kessel does not succumb despite the use of tactical nuclear weapons, in part because of the timely arrival of Combine Warships. Blakist neutron weapons reportedly kill over 10,000 civilians on Kessel before the invaders retreat.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,54,3076,5,7,,,,Clan Diamond Shark wins a Trial against Ghost Bear forces to establish an enclave on Tukayyid.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,20,3076,5,7,,,,Clan Diamond Shark wins a Trial against Ghost Bear forces to establish an enclave on Tukayyid.,,,,,,,
Historical - Second Succession War,82,2849,5,8,,,,"Archon Claudius Steiner dies; Estates General reconvenes and establishes the Triumvirate Regency for Elizabeth Steiner after Claudius’ wife, Rebecca Morgan, refuses the Archonship.",,,,,,,
Historical - Fedcom Civil War,11,3022,5,8,,,,The Federated-Commonwealth Alliance Document signed on Terra,,,,,,,
House Book House Davion,71,3022,5,8,,,,First Prince Hanse Davion and Archon Katrina Steiner sign the Federated-Commonwealth Alliance Document.,,,,,,,
Historical - Fedcom Civil War,13,3051,5,8,,,,"Chancellor Romano Liao dies, officially of natural causes, though various rumors indicate that either Sun-Tzu Liao kills her or that Prime Minister Candace Liao ordered her assassination in retribution for the attempt on her own life",,,,,,,
Era Report 3052,19,3052,5,8,,,,romano liao and Tsen shang are assassinated on sian.,,,,,,,
Field Manual - Update,14,3067,5,8,,,,Trial of Possession between Clans Ghost Bear and Nova Cat for the Rasalhague,,,,,,,
Era Report 3062,24,3058,5,9,,,,Jade Falcons assault Leitnerton on Coventry.,,,,,,,
Field Manual - Update,11,3064,5,10,,,,Start of the Jade Falcon Incursion into the Lyran Alliance,,,,,,,
House Book House Davion,83,3064,5,10,,,,Jade Falcon Incursion into Lyran Alliance begins.,,,,,,,
Era Digest: Dark Age,10,3133,5,10,,,,Anastasia Kerensky kills Kal Radick in a Trial of Position to lead the Steel Wolves.,,,,,,,
Field Manual - 3145,23,3133,5,10,,,,Anastasia Kerensky kills Kal Radick in a Trial of Position to lead the Steel Wolves.,,,,,,,
Historical - Wars of the Republic Era,16,3133,5,10,,,,Anastasia Kerensky kills Kal Radick and assumes command of the Steel Wolves.,,,,,,,
Historical - First Succession War,114,2784,5,11,,,,"Eighty percent of SLDF undertakes Operation EXODUS, majority of remainder pledge themselves to Jerome Blake’s reconstruction efforts",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,50,3073,5,11,,,,"Word of Blake forces attack Arcturus, specifically targeting the coalition of mercenaries and ""independent forces"" gathered there by Chandrasekhar Kurita. Both sides suffer heavy losses, but the Word withdraws abruptly, despite holding a tactical advantage.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,30,3073,5,11,,,,"Word of Blake forces attack Arcturus, specifically targeting the coalition of mercenaries and “independent forces” gathered there by Chandrasekhar Kurita. Both sides suffer heavy losses, but the Word withdraws abruptly, despite holding a tactical advantage.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,60,3080,5,11,,,,Barbara Sennet steps down as Khan of Clan Diamond Shark. Star Admiral Naomi Nagasawa becomes the new Khan.,,,,,,,
Era Report 3145,21,3139,5,11,,,,LCAF recaptures Tamarind.,,,,,,,
Field Manual - 3145,24,3139,5,11,,,,LCAF recaptures Tamarind.,,,,,,,
Era Report 2750,11,2573,5,12,,,,Gregory Amaris issues the Universal Act of Loyalty.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,49,3072,5,12,,,,Word of Blake forces seize Benjamin.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,21,3072,5,12,,,,Word of Blake forces seize Benjamin.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,5,12,,,,"Word of Blake forces raid New Valencia, damaging the GM/Blackwell production lines there, but several of their escaping transports are intercepted and destroyed by AFFS aerospace forces.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,15,3075,5,12,,,,"Word of Blake forces raid New Valencia, damaging the GM/Blackwell production lines there, but several of their escaping transports are intercepted and destroyed by AFFS aerospace forces.",,,,,,,
Era Report 3145,21,3140,5,12,,,,Renewal of Operation HAMMERFALL.,,,,,,,
Field Manual - 3145,24,3140,5,12,,,,Operation HAMMERFALL renews.,,,,,,,
Era Report 2750,18,2729,5,13,,,,"Impatient with Cameron’s inaction, Commanding General Ikolor Fredasa attempts to persuade Mother Jocasta Cameron to depose her brother. When she refuses, Fredasa spreads rumors that she was planning a coup.",,,,,,,
House Book House Davion,71,2892,5,13,,,,"First Prince Melissa Davion dies of Joshallan Fever and is succeeded by her half-brother, Joseph Davion II. First Prince Joseph Davion II focuses his energies on war, ignoring the bureaucratic needs of the Federation; this focus leads to economic problems as well as the eventual rise of the MechWarrior Brotherhoods.",,,,,,,
Era Report 3062,13,3055,5,13,,,,"Sent by the ilKhan to help protect the Truce of Tukayyid, the Thirty-first Wolf Solahma chases the Red Corsair from Zhongshan, but her raids continue.",,,,,,,
Era Report 3062,26,3059,5,13,,,,"Operation Bird Dog, a series of small raids designed to disrupt Smoke Jaguar operations in advance of the main Star League assault, begins. Although loss es are high among the company-sized units deployed, they serve their purpose. A week later, the main invasion—Operation Bulldog—begins.",,,,,,,
House Book House Davion,83,3059,5,13,,,,Operation BIRD DOG begins.,,,,,,,
Era Report 3145,18,3135,5,13,,,,Peace accord between Republic and Federated Suns includes promise of military aid.,,,,,,,
Field Manual - 3145,23,3135,5,13,,,,Peace accord between Republic and Federated Suns includes promise of military aid.,,,,,,,
Era Report 2750,11,2577,5,14,,,,"Duke Brion Marik lands on Canopus and delivers the Star League’s declaration of war, announcing also that the Star League will abide by the Ares Conventions.",,,,,,,
Era Digest: Golden Century,8,2801,5,14,,,,General Aaron DeChavilier killed in a rebel ambush; DeChavilier Massacre ensues,,,,,,,
Historical - Liberation of Terra II,124,2801,5,14,,,,"General DeChavilier killed during unrest on Eden; Kerensky responds heavy-handedly and DeChavilier Massacre ensues, all-out war erupts on Eden",,,,,,,
Historical - Operation Klondike,102,2801,5,14,,,,General Aaron DeChavilier is killed in a rebel ambush; the DeChavilier Massacre ensues; General Kerensky declares martial law,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",30,2801,5,14,,,,General Aaron DeChevilier killed in rebel ambush. The DeChevilier Massacre ensues.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,5,14,3069,5,28,"The CCAF continues its border-wide assault on the FedSuns as the last of Hasek’s troops find themselves on the defensive. Capellan troops hit Kathil, Jaipur, Ridgebrook, Manadree and Bacum, as their rimward drive begins a ""leapfrogging"" approach toward New Syrtis.",,,,,,,
